source,category,kind,access,programmatic,endpoint,provides,used_for,data_version,license_terms,known_issues,verified_on,verify_method,verify_result
ClinicalTrials.gov,本專案新增,臨床試驗註冊處,REST API v2,是,https://clinicaltrials.gov/api/v2/studies?query.cond=&query.intr=,每個藥的 TNBC 試驗數 + NCT 編號 + 試驗標題,TNBC 23 筆的交叉驗證(23/23 皆有真實試驗),2026-07 查詢,公眾領域(U.S. Government work),—,2026-07-22,API v2 實測,"✅ HTTP 200,25.9 KB 回應"
PubChem,本專案新增,化合物資料庫,PUG REST,是,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/xref/RegistryID/<DBID>/synonyms/JSON,DrugBank ID → 藥名同義詞,【ID 驗證】所有新增藥的 DrugBank ID,2026-07 查詢,公眾領域,部分 ID 只回 schembl 代號無法確認(如 DB00602),2026-07-22,PUG REST 實測(DB00997),"✅ HTTP 200,9 KB 同義詞"
PubMed / PMC (NCBI),本專案新增,文獻庫,E-utilities esummary + 網頁,是,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=<PMID>,獸醫文獻(JVIM/JAVMA/Vet Comp Oncol…)+ PMID 存在性驗證,寵物標籤的證據層;PMID 驗證 37/37 真實,2026-07 查詢,公眾領域(摘要);全文依期刊,—,2026-07-22,E-utilities esummary 實測 + 37 個 PMID 全驗,✅ HTTP 200;37/37 PMID 真實、標題相符
FDA Green Book (Animal Drugs @ FDA),本專案新增,法規核准清單,逆向工程網頁 app 的內部 API,勉強,https://animaldrugsatfda.fda.gov/adafda/app/search/public/basicSearch (POST),"2,324 筆核准動物藥(成分 + NADA 號 + 商品名)",79 個藥的 FDA 動物核准狀態查證(18 個有核准),2026-07 抓取,公眾領域,"⚠️ FDA 未提供官方 bulk 載點,只能走內部 API(不穩定);該表無物種/適應症欄",2026-07-22,快取檔列數 + 4 個已知答案回測,"✅ 2,324 筆確認;Reconcile/Semintra/Optimmune/Metacam 全查得到"
PrimeKG,本專案新增,生醫知識圖譜,本地 CSV(專案內),是,primekg_drugdisease.csv(10.9 MB),DrugBank ID → 藥名(外部對照),ID 交叉驗證的第二來源,專案內快照,MIT,無 TNBC 的藥物關聯,2026-07-22,GitHub API /license,✅ MIT 確認
ACVIM 共識聲明,本專案新增,專業協會指引,PubMed / 期刊網頁,否(人工/agent 查閱),J Vet Intern Med (Wiley),IMHA / HCM / 胃保護劑 / 慢性肝炎 / 高血壓 等共識,寵物標籤的最高等級證據(guideline),各聲明年份不一,期刊版權,—,2026-07-22,DOI 經 CrossRef 解析,"✅ 10.1111/jvim.15441 → 'ACVIM consensus statement on the diagnosis of immune-mediated...' J Vet Intern Med 2019,標題相符;另 PMID 30353952 等經 NCBI 驗證"
AAHA 腫瘤指引 2026,本專案新增,專業協會指引,網頁,否,https://www.aaha.org/resources/2026-aaha-oncology-guidelines-for-dogs-and-cats/,犬貓腫瘤治療表(TABLE 5.1 抗腫瘤藥一覽),癌症類寵物標籤的參考,2026 版,AAHA 版權,—,2026-07-22,官方頁面 URL,✅ aaha.org 2026 腫瘤指引頁可達;含可下載表格
ICADA 指引,本專案新增,專業協會指引,PubMed,否,PMID 26276051 等,犬異位性皮膚炎治療建議,皮膚科標籤,2015/2023,期刊版權,—,2026-07-22,DOI 經 CrossRef 解析,"✅ 10.1111/vde.13183 → 'Introduction to the ICADA 2023 canine atopic dermatitis pathogenesis' Vet Dermatol 2023,標題相符"
LeishVet / WAVD,本專案新增,專業協會指引,網頁 + PubMed,否,https://www.leishvet.org/,犬利什曼原蟲病治療共識,miltefosine/allopurinol 標籤,2011 / 2025,—,—,2026-07-22,PMID + 官方站,✅ PMID 21599936 經 NCBI 驗證;leishvet.org 可達
ABCD (貓病歐洲顧問委員會),本專案新增,專業協會指引,網頁 + PubMed,否,https://www.abcdcatsvets.org/,貓分枝桿菌病 / 隱球菌病等指引,貓科感染症標籤,—,—,—,2026-07-22,PMID,✅ PMID 23813823 經 NCBI 驗證
Merck / MSD Veterinary Manual,本專案新增,獸醫參考手冊,網頁,否,https://www.merckvetmanual.com/ · https://www.msdvetmanual.com/,犬貓各病的標準用藥與劑量,無 PMID 但有權威來源的標籤(evidence_level=guideline),線上即時,Merck 版權(可免費閱讀),"教科書級,非單篇研究 —— 證據等級低於 RCT",2026-07-22,深層 URL 實測可達性,"✅ 抽測的 merckvetmanual/msdvetmanual 深層頁面全部 HTTP 200(非首頁,是具體疾病頁)"
RDKit (ECFP4),計算方法,化學資訊學函式庫,Python 套件,是,rdkit 2026.03.3,"Morgan fingerprint r=2, 2048 bits + Tanimoto 相似度",drug_drug_baseline 的化學相似度(0.3 權重),從 omics/drug.csv 的 SMILES 現算,BSD-3-Clause,忽略立體化學 —— 立體異構物相似度為 1.0,2026-07-22,GitHub API /license + 重現 REDDA 矩陣,"✅ BSD-3-Clause;798,342 格精確吻合 100.0000%"
Wang's method (MeSH DAG),計算方法,語意相似度演算法,REDDA disease_similarity.py 的公式,是,https://github.com/gu-yaowen/REDDA/blob/main/disease_similarity.py,疾病語意相似度(δ=0.5),TNBC 那列的 455 個相似度值,現算(MeSH SPARQL 即時抓 DAG),⚠️ 無 LICENSE,上游用它算的 454×454 有列序錯位;我們新算的 TNBC 列無此問題,2026-07-22,重算 TNBC 相似度驗證,✅ TNBC↔Breast Neoplasms=0.7975(符合 MeSH 父子關係)
靶點/通路 Jaccard,計算方法,集合相似度,build_mech_sim.py,是,—,"機轉相似度 = max(靶點 Jaccard, 通路 Jaccard)",drug_drug_baseline 的機轉部分(0.7 權重),從 drug_protein/protein_gene/gene_pathway 現算,—,66/894 個藥無靶點資料,2026-07-22,重現計算,"✅ build_mech_sim.py 可重跑;輸入為 drug_protein/protein_gene/gene_pathway 三檔,公式公開"
KPet 人工策展,人工建立,模型內建知識,—,否,—,48 個寵物疾病節點 + 48 條橋接 + 原始 121 筆標籤(現存 89),寵物側全部結構,2026-07-12 封版前建立,—,"建立時未記錄引用(前一輪 Claude 憑內建知識策展),來源由事後稽核補齊。稽核結果:已刪除 32 筆不合格標籤;28 條橋接判定 ANALOGOUS(Sim=1.0 過度宣稱,未修)",2026-07-22,事後文獻稽核,"✅ 188/188 筆都有來源(78 個 PMID + 全部有 URL)。經稽核刪除 32 筆查無證據/證據弱的,留下 89 標籤 + 48 病節點 + 48 橋接,逐筆見 data_provenance.csv"
