pet_disease_id,pet_disease_name,human_disease_id,human_disease_name,mesh_id,mesh_url,sim_claimed,n_pet_labels,verdict,sim_1_0_defensible,occurs_in,vet_counterpart_name,key_difference,pmid,pubmed_url,url,source_name,note,source_disease_db,source_bridge
466,Peptic Ulcer,30,Peptic Ulcer,D010437,https://meshb.nlm.nih.gov/record/ui?ui=D010437,1.0,3,ANALOGOUS,False,dog/cat,Gastroduodenal (gastrointestinal) ulceration in small animals,"Human peptic ulcer is dominated by Helicobacter pylori plus NSAIDs, whereas canine/feline gastroduodenal ulcers are attributed to NSAIDs/glucocorticoids, neoplasia and hepatic disease, and H. pylori is not a recognized cause in dogs or cats.",,,https://www.msdvetmanual.com/digestive-system/diseases-of-the-stomach-in-small-animals/gastrointestinal-ulcers-in-small-animals,"MSD Vet Manual, 'Gastrointestinal Ulcers in Small Animals'","Ulcer lesion and acid-suppression/mucosal-protection treatment transfer well, but the H. pylori eradication arm of human peptic ulcer pharmacology has no canine/feline correlate -- dogs and cats carry non-pylori Helicobacter of unclear causal role.",MeSH (NLM),source (https://www.msdvetmanual.com/digestive-system/diseases-of-the-stomach-in-small-animals/gastrointestinal-ulcers-in-small-animals)
472,Pemphigus,64,Pemphigus,D010392,https://meshb.nlm.nih.gov/record/ui?ui=D010392,1.0,3,ANALOGOUS,False,dog/cat,Pemphigus foliaceus (canine/feline),"The major autoantigen in canine pemphigus foliaceus is desmocollin-1 (DSG1 detected in only ~6% of sera), whereas human pemphigus targets desmoglein-1/desmoglein-3, and the dominant subtype is inverted (foliaceus predominates in dogs/cats, vulgaris in humans).",22884397,https://pubmed.ncbi.nlm.nih.gov/22884397/,https://pubmed.ncbi.nlm.nih.gov/22884397/,Vet Immunol Immunopathol (canine DSC1 as major PF autoantigen),"Real autoimmune blistering disease of the same family, but a different desmosomal target protein means drug/target inference across the bridge is not safe at 1.0.",MeSH (NLM),literature (PMID 22884397)
479,Squamous Cell Carcinoma of Head and Neck,129,Squamous Cell Carcinoma of Head and Neck,D000077195,https://meshb.nlm.nih.gov/record/ui?ui=D000077195,1.0,3,ANALOGOUS,False,dog/cat,Canine and feline oral squamous cell carcinoma,"Canine/feline oral SCC has no true HPV-driven counterpart (it models only HPV-negative HNSCC, while ~25% of human HNSCC is high-risk HPV-associated) and shows less frequent TP53 mutation than human HNSCC.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4452692/,'Canine Spontaneous Head and Neck Squamous Cell Carcinomas Represent Their Human Counterparts at the Molecular Level',"The closest bridge in this batch after IMHA -- canine tumors recapitulate human HNSCC CNA landscape and cell-cycle/PI3K-AKT alterations -- but the HPV-positive human subtype has no animal counterpart, so 1.0 overstates it.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC4452692/)
454,Hypertension,1,Hypertension,D006973,https://meshb.nlm.nih.gov/record/ui?ui=D006973,1.0,2,ANALOGOUS,False,dog/cat,"Secondary systemic hypertension (most often chronic kidney disease-, hyperthyroidism- or hyperadrenocorticism-associated)","In dogs and cats hypertension is predominantly SECONDARY to an identifiable underlying disease, with idiopathic hypertension accounting for only ~13-20% of feline cases, whereas human hypertension is predominantly primary/essential.",30353952,https://pubmed.ncbi.nlm.nih.gov/30353952/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271319/,"ACVIM consensus statement 2018 (Acierno et al., J Vet Intern Med 32:1803-1822)","Same end-organ pathophysiology, but the etiologic structure is inverted vs humans; the ACVIM panel deliberately says 'idiopathic' rather than 'essential' for animals.",MeSH (NLM),literature (PMID 30353952)
469,"Lupus Erythematosus, Cutaneous",46,"Lupus Erythematosus, Cutaneous",D008178,https://meshb.nlm.nih.gov/record/ui?ui=D008178,1.0,2,ANALOGOUS,False,dog,"Canine cutaneous lupus erythematosus (facial/generalized discoid LE, vesicular CLE, exfoliative CLE, mucocutaneous LE)","Canine CLE variants only partly map onto the human Gilliam-Sontheimer scheme -- some appear unique to the dog -- and canine facial discoid LE essentially never progresses to SLE (no progression in 104 dogs across the four largest case series), unlike human DLE.",29669547,https://pubmed.ncbi.nlm.nih.gov/29669547/,https://pubmed.ncbi.nlm.nih.gov/29669547/,"BMC Vet Res 2018, 'Cutaneous lupus erythematosus in dogs: a comprehensive review'","A real and well-characterized canine disease (vesicular CLE is an accepted equivalent of human subacute cutaneous LE), so the edge is defensible but sim=1.0 overstates it; the review does not address cats, so I cannot confirm feline CLE and set occurs_in to dog only.",MeSH (NLM),literature (PMID 29669547)
476,Anxiety Disorders,82,Anxiety Disorders,D001008,https://meshb.nlm.nih.gov/record/ui?ui=D001008,1.0,2,ANALOGOUS,False,dog,Canine separation distress disorder / noise phobia / generalized anxiety,"Canine anxiety is dominated by separation distress and noise phobia, diagnosed purely from observed behavior with no self-reported cognitive component, and human subtypes such as panic disorder and social anxiety disorder have no established canine counterpart.",,,https://www.msdvetmanual.com/behavior/normal-social-behavior-and-behavioral-problems-of-domestic-animals/behavioral-problems-of-dogs,"MSD Vet Manual, 'Behavioral Problems of Dogs'","Unlike the 'Depression' calibration case this IS a genuine veterinary diagnosis with FDA-approved drugs (clomipramine/Clomicalm, fluoxetine/Reconcile, dexmedetomidine/Sileo), so the edge is defensible -- only the 1.0 is wrong; feline anxiety is recognized but was not verified here.",MeSH (NLM),source (https://www.msdvetmanual.com/behavior/normal-social-behavior-and-behavioral-problems-of-domestic-animals/behavioral-problems-of-dogs)
478,Aspergillosis,99,Aspergillosis,D001228,https://meshb.nlm.nih.gov/record/ui?ui=D001228,1.0,2,ANALOGOUS,False,dog/cat,Canine sinonasal aspergillosis; feline sinonasal/sino-orbital aspergillosis; disseminated aspergillosis (A. terreus) of German Shepherd Dogs,"Dogs and cats mainly develop fungal rhinosinusitis as immunocompetent hosts (dolichocephalic dogs, A. fumigatus; cats, A. felis), whereas human aspergillosis is dominated by invasive pulmonary disease in immunocompromised patients.",,,https://www.msdvetmanual.com/infectious-diseases/fungal-infections/aspergillosis-in-animals,"MSD Vet Manual, 'Aspergillosis in Animals'","Same pathogen genus and overlapping antifungal therapy, but the disease form and host immune context differ, so the human node's immunocompromised-host biology should not flow through at 1.0.",MeSH (NLM),source (https://www.msdvetmanual.com/infectious-diseases/fungal-infections/aspergillosis-in-animals)
490,Chromoblastomycosis,205,Chromoblastomycosis,D002862,https://meshb.nlm.nih.gov/record/ui?ui=D002862,1.0,2,ANALOGOUS,False,cat,Phaeohyphomycosis (dematiaceous/black fungal infection),"True chromoblastomycosis (muriform/sclerotic bodies from traumatic inoculation) is essentially absent in dogs/cats and exists only as isolated case reports; the recognized veterinary dematiaceous mycosis is phaeohyphomycosis, defined by pigmented septate hyphae and typically affecting pinnae/digits/nasal planum in cats or immunosuppressed (cyclosporine-treated) dogs.",25425600,https://pubmed.ncbi.nlm.nih.gov/25425600/,https://pubmed.ncbi.nlm.nih.gov/25425600/,J Feline Med Surg 2015 case report; MSD Vet Manual (Phaeohyphomycosis in Animals),"The single confirmed feline case I verified was a Cladophialophora carrionii peritoneal exudate in an FIV+ cat -- atypical for chromoblastomycosis; the MSD Vet Manual page I fetched has no chromoblastomycosis entry at all, only phaeohyphomycosis. A canine case report exists in a Chilean journal but the PDF returned HTTP 403 so I did not verify it and do not cite it.",MeSH (NLM),literature (PMID 25425600)
502,"Hepatitis, Autoimmune",428,"Hepatitis, Autoimmune",D019693,https://meshb.nlm.nih.gov/record/ui?ui=D019693,1.0,2,ANALOGOUS,False,dog,Canine chronic hepatitis (idiopathic / presumed immune-mediated),"Canine AIH is not an established, criteria-defined diagnosis: dogs lack the type-2 markers (anti-LKM1, anti-LC1), and 'piecemeal necrosis and intense portal track inflammation are the pathological hallmarks of hAIH but such histological features are not frequently seen in canine livers with cAIH'.",26000131,https://pubmed.ncbi.nlm.nih.gov/26000131/,https://pmc.ncbi.nlm.nih.gov/articles/PMC4389077/,"Auto Immun Highlights 2012, canine autoimmune hepatitis autoantibody review (PMID 26000131)","A canine entity is claimed (ANA/SMA and anti-liver-membrane antibodies reported) but the same paper calls cAIH 'an entity that is poorly understood' with autoantibody specificities 'not thoroughly studied'; the ACVIM 2019 consensus (PMID 30844094) uses 'chronic hepatitis', treats immune-mediated CH as a presumptive diagnosis of exclusion requiring steroid response, and a large share of canine CH is copper-associated rather than autoimmune. Bridge defensible, sim=1.0 not.",MeSH (NLM),literature (PMID 26000131)
461,"Diabetes Mellitus, Type 2",14,"Diabetes Mellitus, Type 2",D003924,https://meshb.nlm.nih.gov/record/ui?ui=D003924,1.0,1,ANALOGOUS,False,cat,"Feline diabetes mellitus (type 2-like); canine diabetes is a separate insulin-deficient, type 1-like disease","Type 2 diabetes is genuinely feline-only among pets - cats show insulin resistance, obesity and islet amyloidosis with IAPP differing from human by only 2 residues, whereas DOGS get an insulin-deficient type 1-like disease entirely lacking islet amyloid - and feline disease uniquely remits once glucose toxicity is reversed.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12472474/,"'Comparative Pharmacological and Pharmaceutical Perspectives on Antidiabetic Therapies in Humans, Dogs, and Cats' (PMC12472474); also Henson & O'Brien, ILAR J 2006;47(3):234, 'Feline Models of Type 2 Diabetes Mellitus'","For CATS alone this is close to EQUIVALENT and is a well-accepted model of human T2DM; I downgrade to ANALOGOUS only because a species-agnostic 'pet' node inherits dogs, in which T2DM effectively does not occur, plus frequent diabetic remission has no human T2DM analogue.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC12472474/)
471,"Carcinoma, Renal Cell",62,"Carcinoma, Renal Cell",D002292,https://meshb.nlm.nih.gov/record/ui?ui=D002292,1.0,1,ANALOGOUS,False,dog/cat,,"Subtype distribution is inverted -- clear cell RCC is ~75% of human renal carcinomas but only 9% of canine cases (papillary at 21% predominates in dogs, tubular in cats), so the VHL/HIF clear-cell biology that most human RCC drugs target is not the canine norm.",24829287,https://pubmed.ncbi.nlm.nih.gov/24829287/,https://pubmed.ncbi.nlm.nih.gov/24829287/,"Vet Pathol 2015, 'Prognostic significance of histologic features in canine renal cell carcinomas: 70 nephrectomies'","RCC is real and is the most common kidney cancer in dogs, and the authors argue orthologs of the human subtypes occur in dogs, but the dominant-subtype mismatch makes sim=1.0 overstated for repurposing purposes.",MeSH (NLM),literature (PMID 24829287)
473,"Carcinoma, Non-Small-Cell Lung",72,"Carcinoma, Non-Small-Cell Lung",D002289,https://meshb.nlm.nih.gov/record/ui?ui=D002289,1.0,1,ANALOGOUS,False,dog,Canine primary pulmonary carcinoma (mainly pulmonary adenocarcinoma),"No tobacco etiology is recognized in dogs and the driver landscape is inverted -- HER2 mutations in ~38% of canine pulmonary adenocarcinomas vs ~3% in humans, EGFR mutations rare in dogs vs ~45% in human never-smoker lung cancer, with ALK/ROS/RET rarely documented in dogs.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11788302/,"Front Vet Sci, 'Canine lung carcinoma - A descriptive review'","Histologically resembles human never-smoker NSCLC, but the inverted EGFR/HER2 driver frequencies make a 1.0 bridge actively misleading for targeted-therapy inference; feline primary lung tumors exist but were not verified in this audit.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC11788302/)
474,Hyperthyroidism,76,Hyperthyroidism,D006980,https://meshb.nlm.nih.gov/record/ui?ui=D006980,1.0,1,ANALOGOUS,False,dog/cat,"Feline hyperthyroidism (functional thyroid adenoma / adenomatous hyperplasia); in dogs, hyperthyroidism secondary to thyroid carcinoma","Feline hyperthyroidism is a non-autoimmune autonomous nodular disease (no circulating thyroid-stimulating immunoglobulins) that models human toxic nodular goiter rather than Graves' disease, which causes most human hyperthyroidism; in dogs it is rare and almost always caused by thyroid carcinoma.",,,https://www.msdvetmanual.com/endocrine-system/the-thyroid-gland/hyperthyroidism-in-animals,"MSD Vet Manual, 'Hyperthyroidism in Animals'","The thyrotoxic syndrome and antithyroid drug therapy (methimazole, radioiodine) genuinely overlap, but the autoimmune mechanism dominating the human node does not transfer, and dog vs cat etiologies are themselves different diseases.",MeSH (NLM),source (https://www.msdvetmanual.com/endocrine-system/the-thyroid-gland/hyperthyroidism-in-animals)
484,"Carcinoma, Hepatocellular",175,"Carcinoma, Hepatocellular",D006528,https://meshb.nlm.nih.gov/record/ui?ui=D006528,1.0,1,ANALOGOUS,False,dog,Canine hepatocellular carcinoma (massive/solitary form),"Canine HCC lacks the chronic hepatitis B/C and cirrhosis background that drives the majority of human HCC (HBV alone = 55% of cases globally), and presents as a solitary resectable massive mass in >50% of dogs rather than multifocal disease on a globally cirrhotic liver.",36136704,https://pubmed.ncbi.nlm.nih.gov/36136704/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9505178/,"Vet Sci 2022, Comparative Oncology: Management of Hepatic Neoplasia in Humans and Dogs","Real canine tumor with reported molecular similarity to human HCC, but the etiologic and staging context differs enough that antiviral/cirrhosis-driven human HCC drug associations would not transfer cleanly.",MeSH (NLM),literature (PMID 36136704)
486,Polycythemia Vera,180,Polycythemia Vera,D011087,https://meshb.nlm.nih.gov/record/ui?ui=D011087,1.0,1,ANALOGOUS,False,dog/cat,Primary erythrocytosis (polycythemia vera),"Human PV is defined molecularly by JAK2 V617F in ~95% of cases, whereas canine/feline primary erythrocytosis is essentially a diagnosis of exclusion with only anecdotal JAK2 confirmation in dogs and none supported in cats, so the JAK-driven mechanism that anchors human PV drug biology is not established in pets.",21320566,https://pubmed.ncbi.nlm.nih.gov/21320566/,https://pubmed.ncbi.nlm.nih.gov/21320566/,"Beurlet et al., Exp Hematol 2011; Merck Vet Manual (Erythrocytosis in Animals)","Merck does call it an uncommon MPN of dogs, cats and calves treated with phlebotomy/hydroxyurea, so the edge is defensible, but the Beurlet paper reports JAK2 V617F/C618L in only a single dog — molecular equivalence is not established.",MeSH (NLM),literature (PMID 21320566)
493,"Pneumonia, Pneumocystis",248,"Pneumonia, Pneumocystis",D011020,https://meshb.nlm.nih.gov/record/ui?ui=D011020,1.0,1,ANALOGOUS,False,dog,Canine Pneumocystis pneumonia (Pneumocystis canis),"Pneumocystis is strictly host-specific: dogs are infected by the genetically distinct P. canis and cannot be infected by human P. jirovecii, and the predisposing immunodeficiency is inherited (CARMIL2 nonsense variant / IgG deficiency in Cavalier King Charles Spaniels and miniature dachshunds) rather than the HIV/iatrogenic immunosuppression that dominates human PCP.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10970956/,"J Fungi 2024;10(3):198 (Coffey et al., CARMIL2 immunodeficiency in CKCS)","Same clinical entity type (interstitial pneumonia in an immunodeficient host) and authors call the dogs 'a valuable natural model', but different pathogen species and different host-immunity route; rare and breed-restricted in dogs, and I found no established feline PCP. I did not see a PMID rendered on the page so left it empty rather than guess.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC10970956/)
495,Melanoma,295,Melanoma,D008545,https://meshb.nlm.nih.gov/record/ui?ui=D008545,1.0,1,ANALOGOUS,False,dog/cat,Canine oral malignant melanoma (mucosal melanoma),"Canine melanoma arises predominantly in sun-shielded oral mucosa and is consistently BRAF wild-type with no UV mutational signature, low point-mutation burden and copy-number/structural-variant-driven biology -- it maps onto human MUCOSAL melanoma, not the UV- and BRAF V600-driven cutaneous melanoma (~60% BRAF-mutant) that dominates the human 'Melanoma' concept and its approved drugs.",30664638,https://pubmed.ncbi.nlm.nih.gov/30664638/,https://pubmed.ncbi.nlm.nih.gov/30664638/,"Nat Commun 2019;10:353 -- cross-species genomic comparison of human mucosal, canine oral and equine melanoma",High-impact bridge risk: BRAF/MEK inhibitors linked to the human melanoma node would transfer to a BRAF-wild-type canine disease where they are mechanistically inapplicable.,MeSH (NLM),literature (PMID 30664638)
496,"Cholestasis, Intrahepatic",320,"Cholestasis, Intrahepatic",D002780,https://meshb.nlm.nih.gov/record/ui?ui=D002780,1.0,1,ANALOGOUS,False,dog/cat,Cholangitis/cholangiohepatitis complex; feline hepatic lipidosis; canine vacuolar hepatopathy,"Intrahepatic cholestasis in dogs/cats is a secondary pathophysiologic state driven by infectious/inflammatory cholangitis, hepatic lipidosis or vacuolar hepatopathy, whereas MeSH D002780 in humans is anchored by primary autoimmune/genetic cholangiopathies (PBC, PSC, PFIC, intrahepatic cholestasis of pregnancy) for which I found no evidence of recognized canine or feline counterparts.",,,https://onlinelibrary.wiley.com/doi/10.1111/jsap.13433,"J Small Anim Pract 2022 (Jaffey, Canine intrahepatic biliary disease); WSAVA feline cholangitis classification","Edge is partly defensible because the shared cholestatic state is real and ursodiol is used in both species, but it is a syndrome not a disease -- sim=1.0 asserts identity with human primary cholangiopathies that do not occur in dogs/cats. Absence of PBC/PSC in dogs/cats is an absence-of-evidence finding from my searches, not a cited positive statement, so treat that half with mild caution.",MeSH (NLM),source (https://onlinelibrary.wiley.com/doi/10.1111/jsap.13433)
497,Thyroid Neoplasms,336,Thyroid Neoplasms,D013964,https://meshb.nlm.nih.gov/record/ui?ui=D013964,1.0,1,ANALOGOUS,False,dog/cat,Canine thyroid carcinoma (follicular/medullary); feline thyroid adenoma-hyperplasia,"Species diverge sharply in both directions: dogs get predominantly large, invasive, NON-functional follicular or medullary carcinomas (papillary rare, RAS/RAF signalling largely uninvolved, ~1/3 metastatic at diagnosis), cats get >95% BENIGN functional adenoma/hyperplasia causing hyperthyroidism, while human thyroid cancer is ~85% papillary, BRAF/RAS-driven and comparatively indolent.",,,https://journals.sagepub.com/doi/10.1177/03009858231177225,"Vet Pathol 2024 (Athey et al., canine thyroid carcinoma review); VSSO thyroid tumor monographs","One MeSH term is being forced to cover three materially different diseases across human, dog and cat; the dominant histology and driver pathways differ in each.",MeSH (NLM),source (https://journals.sagepub.com/doi/10.1177/03009858231177225)
